Scenario,Rooms,Customers,NumberOfItems,MaxItemsPolicy,AverageItems,AverageUseMinutes,AverageWaitMinutes,StartTime,EndTime,ElapsedSeconds
scenario03,5,30,0,6,2.80,5.70,13.83,2025-09-09T18:13:45.3267042-07:00,2025-09-09T18:13:49.1719367-07:00,3.845

CustomerId,ItemCount,WaitTimeMinutes,UseTimeMinutes,RealUseMs
1,1,0.00,3.00,313
2,4,0.00,7.00,709
3,1,0.00,2.00,211
4,5,0.00,11.00,1130
5,3,0.00,3.00,336
6,4,2.04,10.00,1031
7,1,3.01,1.00,109
8,6,3.30,11.00,1140
9,1,6.13,1.00,109
10,1,4.07,2.00,210
11,2,7.23,6.00,612
12,2,6.91,4.00,423
13,6,11.14,15.00,1522
14,6,11.12,13.00,1333
15,4,12.21,6.00,643
16,1,13.28,3.00,300
17,2,14.56,2.00,222
18,2,16.25,4.00,421
19,3,16.74,6.00,614
20,6,18.55,16.00,1641
21,3,20.41,6.00,626
22,3,22.85,8.00,813
23,3,24.29,6.00,624
24,2,26.15,3.00,327
25,1,26.60,1.00,117
26,1,27.76,2.00,209
27,2,29.36,5.00,530
28,1,29.83,1.00,103
29,3,30.84,6.00,620
30,4,30.40,7.00,734
